date,code,peTTM
2021-09-30,sh.600397,-16.647561
2021-09-30,sz.002692,-16.594799
2021-09-30,sh.600617,-16.423558
2021-09-30,sz.002504,-16.251306
2021-09-30,sz.300269,-16.129386
2021-09-30,sh.600844,-15.976785
2021-09-30,sz.000707,-15.840591
2021-09-30,sz.002622,-15.763001
2021-09-30,sh.600561,-15.710955
2021-09-30,sz.002570,-15.62964
2021-09-30,sz.300356,-15.607938
2021-09-30,sz.000007,-15.363517
2021-09-30,sz.300600,-15.324888
2021-09-30,sh.600654,-15.301695
2021-09-30,sh.603619,-15.189185
2021-09-30,sh.600825,-14.879429
2021-09-30,sz.000766,-14.877984
2021-09-30,sz.002269,-14.641445
2021-09-30,sz.000410,-14.543899
2021-09-30,sz.002308,-14.535701
2021-09-30,sz.300307,-14.523307
2021-09-30,sz.002569,-14.240983
2021-09-30,sh.600172,-14.111462
2021-09-30,sh.600381,-14.059997
2021-09-30,sz.000005,-13.782475
2021-09-30,sz.002599,-13.704313
2021-09-30,sz.300168,-13.686369
2021-09-30,sz.000607,-13.668868
2021-09-30,sh.600121,-13.659915
2021-09-30,sz.300027,-13.567201
2021-09-30,sz.002355,-13.331974
2021-09-30,sh.600029,-13.317269
2021-09-30,sh.600200,-13.270041
2021-09-30,sz.300025,-13.200922
2021-09-30,sh.600996,-12.924647
2021-09-30,sz.002195,-12.892242
2021-09-30,sz.000901,-12.87266
2021-09-30,sh.600684,-12.728234
2021-09-30,sh.600396,-12.666723
2021-09-30,sz.300537,-12.425436
2021-09-30,sh.600112,-12.403306
2021-09-30,sz.300472,-12.36971
2021-09-30,sz.002668,-12.367609
2021-09-30,sz.300167,-12.295354
2021-09-30,sh.600630,-12.293001
2021-09-30,sz.002586,-12.246925
2021-09-30,sz.002647,-12.237314
2021-09-30,sh.603789,-12.105252
2021-09-30,sz.000917,-11.977252
2021-09-30,sz.000780,-11.961508
2021-09-30,sh.600191,-11.784143
2021-09-30,sz.300266,-11.56163
2021-09-30,sh.688316,-11.560993
2021-09-30,sh.600898,-11.547294
2021-09-30,sh.603508,-11.516766
2021-09-30,sz.002052,-11.488044
2021-09-30,sz.300424,-11.401201
2021-09-30,sz.002700,-11.37564
2021-09-30,sz.002456,-11.358211
2021-09-30,sz.300528,-11.283644
2021-09-30,sz.000697,-11.128759
2021-09-30,sh.600403,-11.057705
2021-09-30,sz.000056,-11.04012
2021-09-30,sz.002231,-11.039987
2021-09-30,sz.300072,-11.006228
2021-09-30,sz.002103,-10.914393
2021-09-30,sz.002717,-10.889194
2021-09-30,sz.002665,-10.821442
2021-09-30,sz.300182,-10.783682
2021-09-30,sz.002310,-10.653568
2021-09-30,sz.300175,-10.612258
2021-09-30,sz.002173,-10.5959
2021-09-30,sz.300366,-10.560073
2021-09-30,sz.002325,-10.55951
2021-09-30,sz.300300,-10.441007
2021-09-30,sz.300385,-10.334555
2021-09-30,sz.002348,-10.32684
2021-09-30,sz.300162,-10.306017
2021-09-30,sz.002905,-10.304801
2021-09-30,sh.600545,-10.211948
2021-09-30,sz.002336,-9.957804
2021-09-30,sz.300044,-9.943874
2021-09-30,sz.300437,-9.940012
2021-09-30,sz.002188,-9.890599
2021-09-30,sh.600213,-9.806649
2021-09-30,sh.600733,-9.8041
2021-09-30,sz.002178,-9.788222
2021-09-30,sz.300081,-9.70687
2021-09-30,sz.002806,-9.682037
2021-09-30,sz.002011,-9.668413
2021-09-30,sz.300201,-9.527142
2021-09-30,sh.600626,-9.364292
2021-09-30,sz.002161,-9.322564
2021-09-30,sz.300011,-9.212068
2021-09-30,sh.601111,-9.193768
2021-09-30,sz.002089,-9.191679
2021-09-30,sh.600613,-9.17583
2021-09-30,sz.000978,-9.162723
2021-09-30,sz.300473,-9.083556
2021-09-30,sh.600115,-9.075107
2021-09-30,sz.002506,-8.95227
2021-09-30,sh.600192,-8.913849
2021-09-30,sh.600555,-8.904205
2021-09-30,sz.002400,-8.736371
2021-09-30,sh.600869,-8.695444
2021-09-30,sz.300089,-8.67666
2021-09-30,sz.300292,-8.633867
2021-09-30,sz.002313,-8.396472
2021-09-30,sh.600721,-8.353078
2021-09-30,sz.000008,-8.328604
2021-09-30,sh.603518,-8.322938
