date,code,pbMRQ
2021-09-30,sh.600606,0.663973
2021-09-30,sh.600608,28.820857
2021-09-30,sh.600609,13.345437
2021-09-30,sh.600610,193.816556
2021-09-30,sh.600611,0.841630
2021-09-30,sh.600612,2.907181
2021-09-30,sh.600613,1.289334
2021-09-30,sh.600615,2.236838
2021-09-30,sh.600616,2.541772
2021-09-30,sh.600617,1.813928
2021-09-30,sh.600618,3.038598
2021-09-30,sh.600619,2.002553
2021-09-30,sh.600620,2.646429
2021-09-30,sh.600621,2.217113
2021-09-30,sh.600622,0.615117
2021-09-30,sh.600623,1.249648
2021-09-30,sh.600624,4.004576
2021-09-30,sh.600626,1.692561
2021-09-30,sh.600628,1.164113
2021-09-30,sh.600629,1.208473
2021-09-30,sh.600630,1.417862
2021-09-30,sh.600633,1.046613
2021-09-30,sh.600635,1.429344
2021-09-30,sh.600636,1.597635
2021-09-30,sh.600637,0.925874
2021-09-30,sh.600638,0.792418
2021-09-30,sh.600639,1.213896
2021-09-30,sh.600640,1.865971
2021-09-30,sh.600641,3.750543
2021-09-30,sh.600642,1.264717
2021-09-30,sh.600643,0.937573
2021-09-30,sh.600644,2.624973
2021-09-30,sh.600645,3.089823
2021-09-30,sh.600647,5.118364
2021-09-30,sh.600648,1.328240
2021-09-30,sh.600649,0.550316
2021-09-30,sh.600650,1.434255
2021-09-30,sh.600651,3.326455
2021-09-30,sh.600652,1.012459
2021-09-30,sh.600653,3.609503
2021-09-30,sh.600654,-26.654439
2021-09-30,sh.600655,1.201356
2021-09-30,sh.600657,0.425616
2021-09-30,sh.600658,0.699628
2021-09-30,sh.600660,4.418462
2021-09-30,sh.600661,4.674583
2021-09-30,sh.600662,4.504920
2021-09-30,sh.600663,2.262293
2021-09-30,sh.600664,2.270369
2021-09-30,sh.600665,0.638509
2021-09-30,sh.600666,25.126991
2021-09-30,sh.600667,2.282321
2021-09-30,sh.600668,0.912425
2021-09-30,sh.600671,16.652750
2021-09-30,sh.600673,3.627578
2021-09-30,sh.600674,2.189047
2021-09-30,sh.600675,1.163034
2021-09-30,sh.600676,0.761161
2021-09-30,sh.600678,9.273387
2021-09-30,sh.600679,3.021422
2021-09-30,sh.600681,1.983423
2021-09-30,sh.600682,0.802493
2021-09-30,sh.600683,1.466118
2021-09-30,sh.600684,1.155887
2021-09-30,sh.600685,2.074400
2021-09-30,sh.600686,1.088020
2021-09-30,sh.600688,1.561293
2021-09-30,sh.600689,2.985711
2021-09-30,sh.600690,3.333928
2021-09-30,sh.600691,2.443450
2021-09-30,sh.600692,2.275930
2021-09-30,sh.600693,1.023864
2021-09-30,sh.600694,0.626937
2021-09-30,sh.600695,5.331212
2021-09-30,sh.600696,21.342741
2021-09-30,sh.600697,0.723118
2021-09-30,sh.600698,4.360866
2021-09-30,sh.600699,1.593359
2021-09-30,sh.600702,16.358484
